Supplier,Spend_AUD,Treatment,NAICS,Factor_kgCO2e_per_USD2022,tCO2e,Basis
"PDS CONDITION MONITORING SERV",76815,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MICROMINE AUSTRALIA P/L",76260,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"QD CONSULTING PTY LTD",75949,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CULTURAL HERITAGE SOLUTIONS",74754,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MIDWAY METALS PTY LTD",74563,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ADRIAN BRITTON ASSET REL. P/L",73496,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"STELLAR RECRUITMENT P/L",73128,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SPRING CLOUD TECH PTY LTD",72400,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"WASTE WATER WORKS",72092,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"NEPEAN RUBBER + PLASTICS",71940,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"IRON MOUNTAIN AUST. GROUP P/L",71669,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MAXWELL GEOSERVICES PTY LTD",71290,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"RUSWIN LOCKSMITH & SECURITY",71012,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CSF INDUSTRIES PTY LTD",70954,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ELLAPACK PTY LTD",70818,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"FENNER DUNLOP AUSTRALIA P/L",69741,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TORC TIGHT QLD P/L",69412,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BRIDGESTONE SELECT GARBUTT",68182,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"COPIERS EXCELLANCE PTY LTD",67288,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AP ME BARR PTY LTD",65965,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
